site_id,name,long,lat,description,image,ebird_id,ebird_hotspot,num_species,car_birding,park_fee,,unit_of_measure,length_of_trail,type_of_trail,parking_info,bathroom_info,ramp_info,trail_info,slope_info,trail_width_and_pullouts,step_info,bench_info,obstacle_info,railing_or_barrier_info,low_vision_info,shade_info,noise_info,bird_blind_info,maintenance_info,safety_info,other_info
11,"Prairie Lane, Faville Grove Sanctuary",-88.89903964,43.13916883,"Prairie Lane at Faville Grove Sanctuary is a haven for grassland birds. Encompassing over 300 acres of restored prairie and wetlands, along with 40 acres of savanna and open oak woodlands, this sanctuary is a remarkable example of land stewardship and ecological restoration. The site is a wonderful birding destination for grassland species. Bobolinks, Dickcissels, Sedge Wrens, and Swamp Sparrows are commonly seen here, while American Woodcock and Wilson's Snipe add excitement to the mix. A Bald Eagle nest along the nearby Crawfish River provides an additional highlight. Visitors will also find songbirds among the wild grasses, scattered trees, and ponds that dot the landscape. Prairie Lane can be enjoyed by car or on foot.",,L389534,"Faville Grove Sanctuary, Jefferson, Wisconsin, United States - eBird Hotspot",179,Yes,No,,mi,0.6,out and back,"3-4 van accessible spots in grassy parking lot marked with a ""Sanctuary Parking"" sign off of Prairie Lane. Sloped and uneven gravel to get out of parking area. Located next to a kiosk with information about Faville Grove Sanctuary.",No bathrooms available.,No ramps are present.,"Prairie Lane develops potholes after rains, but if walking or out of vehicle, these can usually be avoided. The entire road is gravel but dead-ends at a turn-around to the north. Please follow posted signs.",Prairie Lane is entirely flat except for one gentle slope at the Lake Mills Ledge.,"Prairie Lane is a public road, wide enough for two cars to pass.",No steps are present.,No benches are available.,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,"Several large oak trees in one spot, otherwise no shade.",Relatively quiet.,No bird blind present.,No maintenance information is available.,"High visibility clothing or flags are recommended.Ticks, chiggers, and biting insects are a concern. Site is used for hunting part of the year. Site borders private property with no tresspassing signs visible along trail.","Dawn to dusk, can contact Drew Harry (262-210-6409) with questions."
12,"Buddy's Prairie, Faville Grove Sanctuary",-88.91651745,43.12687835,"Buddy's Prairie is a remarkable showcase of ecological restoration. This site features prairie restorations in various stages of maturity, from recent plantings to well-established grasslands over 20 years old. A rich variety of habitats can be found here, including a shallow pond, open water marsh, tamarack bog complex, black oak savanna, and dry-mesic prairie, making it a great host to a variety of bird species. Birding highlights include waterfowl in the wetlands and ponds during spring and fall migrations. Sandhill Cranes are known to nest in the adjacent Faville Marsh to the east. In the prairie, visitors can enjoy the sights and sounds of Song Sparrows, Common Yellowthroats, and Eastern Meadowlarks, while the savanna areas are home to Baltimore Orioles, Warbling Vireos, and Eastern Kingbirds.",,L389534,"Faville Grove Sanctuary, Jefferson, Wisconsin, United States - eBird Hotspot",179,Yes,No,,mi,0.6,loop,"There is one spot available on the right (east) side of the gravel driveway that abuts a fence and an old farmstead. Please only park on the right side and do not block access to the left side. You may also park well off the road along Highway 89, though there is a slight slope when doing so.",No bathrooms available.,No ramps are present.,"Trail is mowed north to Faville Marsh all year. Trail is mowed along the edge of Buddy's Prairie from September through April. Trail is roughly mowed prairie, often with a mulch of grasses present.",Slightly undulating and uneven along the east side of the trail. Slopes no steeper than a ration of 1:20. ,"Trail is at least 36"" wide. No pull-outs or passing spaces along the trail.",Gate has a narrow passage on the left hand side (looking north).,No benches are available.,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,"One area contains a black oak savanna and offers shade, the rest is open prairie.",Nearby traffic noise.,No bird blind present.,"Driveway may not be maintained in winter, and frequent plowing along the Highway can throw snow. Vegetation on the trail can be thick, and the savanna trees are not trimmed and do have some lower protruding branches.","Site receives infrequent use, but is generally safe.",Please contact Drew Harry (faville@madisonaudubon.org) for more information.
13,Turville Point Conservation Park,-89.37625435,43.05192752,"Turville Point Conservation Park is a hidden treasure just a short walk from downtown Madison, bordering the scenic shores of Lake Monona. This park offers a blend of natural beauty with large red, bur, and white oaks providing a canopy over trails that wind through woodlands. In spring, wildflowers bloom beneath these towering trees, while a seven-acre prairie adds to the park's  habitat. This park is a favorite among birders, especially during migration seasons when a wide variety of bird species pass through or stop to rest. Spring is particularly rewarding, with warblers, vireos, orioles, thrushes, and flycatchers frequently spotted along the trails. Certain sections of the trail also offer excellent vantage points for observing waterfowl during specific times of the year. Adjacent Olin Park provides restrooms and parking",,L275314,"Olin Park/Turville Point Conservation Park, Dane, Wisconsin, United States - eBird Hotspot",216,No,No,,mi,0.6,loop,Large paved lot with ample parking spaces adjacent to the trailhead. None marked as accessible parking spaces. Bumps and potholes present.,No bathrooms available.,No ramps are present.,"Entry area includes some asphalt and paved trail for about 1/3 mile. This area has uneven blocks and asphalt with potholes. Aside from this area, the trails around the conservancy are primarily packed dirt or mowed grass which can be muddy depending on weather conditions. Wooded sections may be narrow with roots and rocks.","The trail is generally not flat. The slope is steeper than a 5% gradient from the trailhead into the conservancy. Once in the park, there are some trails that are flatter, but many areas include portions that require travelling uphill at steeper than 5% gradients.","Entry paved area and some areas of packed dirt are 3-4 ft wide. There are areas to pass where trails converge, but most of the trail appears too narrow. Some trail sections that wind through the wooded sections and along the lake are very narrow (<2 ft wide).",There is a significant curb surrounding the parking lot near the trailhead. Birders using wheelchairs or other mobility devices would have to move to one of the unpaved curb cuts with thick grass (which can be blocked by parked cars) or to the sideway/bike path off John Nolen Drive. There isn't any paved access between the paved lot and trailhead.,No benches are available.,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,"Much of the trail winds through wooded sections with tall trees and is very shaded for much of the year when leaves are on trees. Some trails in the park have fewer trees and are less shaded, including near the prairie.","Since the park is off of the busy John Nolen Drive and Beltline interchange, traffic noise is present during morning and evening commutes.",No bird blind present.,Grass sections are mowed frequently. Significant cracks and potholes are present. Vegetation adjacent to trail is well maintained.,"Ticks are always a concern in our area. Bug repellant is recommended in warmer seasons. On good weather days, the trails are busier. Early mornings, evenings, and cooler months tend to see smaller crowds.",Local organization Access Ability Wisconsin hosts outdoor wheelchairs and trailers to haul them available to reserve at https://www.accessabilitywi.org/
14,Orchid Heights Park and Conservancy Area,-89.47726909,43.11863824,"Orchid Heights Park and Conservancy Area is a 5-acre prairie preserve nestled along Valley Ridge Road, just south of Orchid Heights Park. This small but scenic area features an ADA-accessible shared-use trail, making it a welcoming destination for visitors of all abilities. The site includes a stormwater pond, which serves as a vital habitat for migratory waterfowl such as geese, ducks, and cranes. This park is an excellent starting point to explore the larger Pheasant Branch Conservancy, offering access to additional trails and habitats. Birders will appreciate the variety of species found here, particularly during migration. Waterfowl often gather at the retention pond, and Sandhill Cranes are frequently heard and seen in the surrounding area. Grassland birds are another highlight.",,L13974255,"Bird List - Pheasant Branch Conservancy--Orchid Heights Park, Dane, Wisconsin, United States - eBird Hotspot",91,No,No,,mi,0.6,loop,Paved lot. There are four van-accessible spaces with a wide aisle. Curb cuts are present right by those spaces.,Bathrooms seem to be accessible,No ramps are present.,The trails immediately surrounding Orchid Heights Park and Conservancy Area are paved asphalt and concrete.,"Some gentle slopes in the general area of the park, varies a bit more when continuing onto the trails into Pheasant Branch Conservancy.","Trail is at least 60"" wide to allow two mobility devices to pass.",No steps are present.,Benches are generally available throughout the park section of the trail.,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,Areas near the park are primarily not shaded and receive full sun. South of the park there is a small section that may be shaded by trees.,"Generally a quiet park, with some sound from plane flyovers. Since the shelter can be reserved and there are some ball fields nearby, the area may be busier during sporting events and parties.",No bird blind present.,Grassy areas are mowed frequently. Trails are plowed in Winter and leaves are removed throughout Fall. Vegetation adjacent to trail is well maintained.,"Overall, the Pheasant Branch Conservancy trail is very popular and busy especially during warmer weather and sporting events. Early times and cooler weather seem to be less busy.  Ticks are a concern in this area. Bug repellent is recommended.","Access Ability Wisconsin hosts an Outdoor Wheelchair onsite, which can be reserved for use at https://www.accessabilitywi.org/"
15,Pheasant Branch Creek Corridor,-89.50207235,43.10310928,"The Pheasant Branch Creek Corridor is a 1.37-mile paved, two-lane trail that connects the west junction of South Trail to an eastern entrance off Century Avenue. Fully ADA-accessible, the trail is ideal for hiking, biking, and birding, with benches thoughtfully placed along the way. Dogs are welcome but must remain leashed and on the path at all times. This corridor is a great spot for birding, particularly during spring migration, when it becomes a hotspot for warblers and other migratory species. The lush surroundings and serene creek create a peaceful environment, perfect for enjoying the sights and sounds of nature.",,L6528252,"Pheasant Branch Conservancy--Creek Corridor, Dane, Wisconsin, United States - eBird Hotspot",184,No,No,,mi,0.6,out and back,There is a small parking lot at nearby Parisi Park and on the street leading to the park. Few spots at the lot and parking fills up quickly on nice weather days. Curb cuts are present.,Nearby Parisi Park has public bathrooms and an accessible fountain from May 15-September 15 (open seasonally). ,No ramps are present.,"he trail surface is primarily worn asphalt and concrete throughout, with some areas being more similar to packed dirt or stone. Wooden bridges provide access over areas of the creek. There are many unmarked ""foot paths"" that are packed dirt or sand.",No slope information available.,"The trail is generally two lanes throughout. Some areas are on wider level ground that would allow for pullouts, but not necessarily marked. The ""foot paths"" mentioned above are much narrower.",No steps are present.,"Benches are scattered throughout the trail, not necessarily at regular intervals. Some can be accessed easily from the trail while others may have steep dropoffs nearby or require moving through vegetation to sit.",No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,"The eastern section (Park St to Century Ave) is more reliably shaded with some tree coverage appearing throughout at regular intervals (every 100 yd or so). The western section (Park St to Parmenter St) is less shaded and often has bright sun. There are some ""foot paths"" on the western section near a shaded bridge, but terrain to reach it is loose soil/sandy.","Some traffic is audible on sections of the path that are close to Parmenter St, Park St, and Century Ave. There is construction happening near the section on Century Ave which may be loud during work hours. As a popular pathway, there may be many people so general noise is to be expected during daytime hours.",No bird blind present.,Grassy areas are mowed frequently. Trails are plowed in Winter and leaves are removed throughout Fall. Vegetation adjacent to trail is well maintained.,"Location is well ussed and does not feel deserted. Ticks are a concern in this area, so bug repellent is recommended.",Water fountain is operated seasonally (May 15-September 15)
16,Stricker's Pond,-89.50851601,43.08879979,"Stricker's Pond, located on Madison's west side, is a stunning natural feature created during the last glacial period roughly 10,000 years ago. As the glacier receded, a block of ice became buried in the earth and later melted, forming a ""kettle"" that filled with water to create this wetland. The pond, which lacks a natural outlet, has historically experienced fluctuating water levels, leading to a dynamic habitat that alternates between marsh-like shallows and open water. This ever-changing environment supports a diverse array of invertebrate and wildlife species. Stricker's Pond is a haven for waterfowl and waterbirds, especially during migration seasons. The narrow-wooded sections surrounding the pond provide excellent cover for warblers and other migratory birds in the spring. Also visit nearby Tiedman's pond to extend your outing.",,L300429,"Stricker's Pond, Dane, Wisconsin, United States - eBird Hotspot",210,Yes,No,,mi,0.6,loop,Parking is along Middleton St and other neighborhood streets where permitted.,No bathrooms available.,No ramps are present.,The the southeast section is paved and part of a bike path. The north sections of the trail are packed gravel or stone. The trail connecting the southern section to the northern section on the west side of the pond winds through the woods and is loose/packed dirt with roots and rocks sticking out in places.,Trail is generally level and even surrounding the pond.,"The bike path section (SE) is widest (two lanes). The packed gravel section (N) is at least 36"" wide. The narrow forest section is roughly 12-18"" wide.",No steps are present.,"Benches on the E, SE, N sides all contain benches regularly. Some benches require heading into grassy areas or paths closer to the pond a few yards off the trail. There is a bench or two in the wooded section.",No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,"Trail mostly unshaded and in bright sun, narrow path through woods has small amount of patchy shade.",Generally quiet.,No bird blind present.,Trail is plowed during the winter.,This location is well used and does not feel deserted. Ticks are a concern in this area.,
17,Tiedeman's Pond,-89.50686681,43.09317586,"Tiedeman's Pond, a 25-acre glacial kettle pond and restored wetland, was once part of the George Tiedeman family farm. Today, it serves as a designated conservancy area, offering a peaceful retreat in the Middleton area. The site is easily accessible via an asphalt pedestrian and biking trail off South Avenue, which runs along the pond's western edge to Woodside Heights Park. A nature trail encircles the pond, featuring a 1,000-foot-long, six-foot-wide accessible boardwalk along the eastern shoreline. This shallow kettle pond is home to a rich variety of wildlife, including muskrat, garter snakes, snapping turtles, and amphibians like spring peepers and spotted salamanders. Birdlife is especially abundant, with blue-winged teal, great blue herons, wood ducks, green herons, mallards, Canada geese, cattle egrets, black-crowned night herons, and double-crested cormorants often spotted in the area. This shallow kettle pond is home to a rich variety of wildlife, including muskrat, garter snakes, snapping turtles, and amphibians like spring peepers and spotted salamanders. Birdlife is especially abundant, with blue-winged teal, great blue herons, wood ducks, green herons, mallards, Canada geese, cattle egrets, black-crowned night herons, and double-crested cormorants often spotted in the area. Visit nearby Stricker's Pond to extend your outing.",,L676860,"Tiedeman's Pond, Dane, Wisconsin, United States - eBird Hotspot",191,No,No,,mi,0.6,loop,"Parking is restricted to neighborhood streets where permitted (along Voss, Sweeney).",No bathrooms available.,No ramps are present.,"Trail generally well maintained, some older sections of the boardwalk are narrow and have some loose feeling boards. Most of the southern and eastern parts of the trail are boardwalk (1/3) and the rest is a mix of work asphalt and packed gravel.",Most of the slopes have lower gradients throughout the loop.,"The newer boardwalk is listed as ADA accessible, but it is probably not wide enough for two mobility devices to pass by one another (less than 5' wide). Other sections of the boardwalk that are older have some narrow sections that may not be fully accessible.",Some of the routes to the trail off of Voss are stairways (8-12 steps). The main public entrance off of South Ave is the most accessible path to enter the trail.,Benches are scattered throughout. There are few benches on the boardwalk section. There is the most seating around Woodside Heights Park.,No known obstacles or obstructions are present.,The boardwalk has a small lip. There is also a wooden viewing platform with two benches and a thick railing which could be difficult to view past while seated.,No features available for visitors who are blind or have low vision.,"There are some trees which provide minimal shading, but most of the pathway is full sun.",Generally quiet.,No bird blind present.,Vegetation near trail is well-maintained.,"Borders homes and condo associations that are marked private.  Ticks are a concern in this area, recommend bug repellent when visiting wooded areas.",There is a water fountain located at Woodside Heights Park along the trail.
18,"UW Arboretum, Ho Nee Um Pond Trail",-89.42791562,43.0560961,"The Ho-Nee-Um Pond Trail, located within the University of Wisconsin-Madison Arboretum, offers a trail through eight distinct ecosystems, including oak savanna, fen wetlands, and coldwater springs. Groundwater springs, historically significant to Native American communities, continue to feed Lake Wingra, connecting visitors to the region's hydrological and cultural heritage. Winding boardwalks and footpaths guide visitors through cottonwood bottomlands and shoreline habitats, creating excellent birding opportunities. Waterfowl and spring migrants, especially warblers, are popular sightings along this trail during migration seasons. Interpretive signage enriches the experience by providing insights into the ecological and historical importance of native plants like wild rice and sweetgrass.",,L1477797,"UW Madison Arboretum--HoNeeUm, Dane, Wisconsin, United States - eBird Hotspot",198,No,No,,mi,0.6,out and back,Plenty of parking spaces in the lot near Wingra Boats or along the street in the neighborhood. Be mindful to check signage about parking. Van-accesible parking in lot. Curb cuts are present. ,No bathrooms available.,No ramps are present.,The trail terrain is very challenging and rotates between packed and loose/muddy dirt (70%) and wooden boardwalk (20%),"Path relatively flat, but the uneven nature of the roots and dirt make the path very unlevel.","Trial is very narrow in sections. There is not space to pass others on the trail, especially the boardwalk (frequently people must step down off the planks to allow another to pass).","There are areas where a person might cross stepping stones over a body of moving water (8 steps). Also, one must step up and step down to access the narrow boardwalk trail","There are a couple benches throughout, especially in areas with views of the water. However, there are not particularly frequent.",No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,Wooded sections of the trial have varying levels of coverage due to trees .,"Generally a quiet, tucked away spot.",No bird blind present.,No maintenance information is available.,"Ticks are a concern in this area, bug repellent is recommended as this trail can be quite overgrown and wooded.",
19,"UW Arboretum, Spring Trail Pond",-89.43444131,43.05322977,"Found along Manitou Way and adjacent to the viburnum and arborvitae collection, the Spring Trail Pond area carries a rich history and an evolving natural landscape. Originally designed by G. William Longenecker in the 1930s, the area fell into disrepair over the decades, becoming overgrown with invasive species like buckthorn and Asian honeysuckle. However, recent restoration efforts by garden staff and dedicated volunteers have revitalized the space. During the winter, invasive brush and dead trees were cleared, revealing a historic stone wall and staircase constructed by the Civilian Conservation Corps in the 1930s. The spring-fed pond remains partially open in winter, making it a great birding location during the colder months. Visitors often spot winter birds attracted by birdseed spread by others, offering a unique and close-up birdwatching experience. Come spring, the area bursts to life with a variety of bird species migrating through the area.",,L2565737,"UW Madison Arboretum--Spring Trail Pond, Dane, Wisconsin, United States - eBird Hotspot",166,No,No,,mi,0.6,out and back,Small parking lot maintained by UW�Madison.,No bathrooms available.,No ramps are present.,"The trail from the lot includes a small amount of paved asphalt sidewalk, but closer to the water is primarily grass or packed dirt. Some roots are present in the packed dirt and grassy sections.","Trail sloped is less than 5% gradient from parking and into the location, but some paths are steeper as they go towards the spring.","The small asphalt section between the parking and area would allow for a mobility device, and so is the initial section that opens out down to the birding area. Some sections of trail are narrow and overgrown near the spring.","The entrances from Monroe St are rock stairs. The area down to the spring includes some buried rounded logs intended to be step-like, and the spring itself has rock stepping stones to get to the other side.","There are two benches in the grassy area around the side of the spring that overlook the water. Since this area includes no paved section, there is no paving connecting to the benches.",No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,"There is shade near the lot under the big trees and the area leading to the spring, but much of the area is open in full sun",Traffic noise from nearby roads is present.,No bird blind present.,No maintenance information is available.,"This area is well used and does not feel deserted. Ticks are a concern in this area, repellenet is reccomended.",
20,"Wingspan Pavilion and South Pond Overlook, Madison Audubon's Goose Pond Sanctuary",-89.36600834,43.31633808,"Located just a mile south of Arlington and 20 minutes north of Madison, the Goose Pond Sanctuary is a prairie pothole and wetland haven, celebrated for its breathtaking wildlife and natural beauty. Managed by the Southern Wisconsin Bird Alliance (formerly Madison Audubon), this sanctuary offers a landscape restored to its native prairie and wetland ecosystems. Over 270 bird species have been recorded here. The Wingspan Pavilion, completed in 2017, stands as a tribute to land managers Mark Martin and Sue Foote-Martin, who have dedicated nearly four decades to restoring Goose Pond's prairies and wetlands. This artfully designed structure features wooden seating, metal sunshades, and bird-inspired artwork, providing a space for visitors to enjoy panoramic views of Goose Pond and the surrounding Bicentennial Prairie. Goose Pond is an essential stop during migration, hosting waterfowl and shorebirds that rely on its abundant resources. Year-round, the sanctuary is home to diverse wildlife, including grassland birds, raptors, and songbirds. Restoration efforts by staff and volunteers since the first 60-acre purchase in 1969 have expanded Goose Pond to over 660 acres of flourishing habitat.",,L209446,"Goose Pond, Columbia, Wisconsin, United States - eBird Hotspot",236,,,,mi,0.6,overlook,Van-accessible parking available. ,No bathrooms available.,No ramps are present.,Path is well-packed crushed stone,No slope information available.,No trail width or pullout information available.,No steps are present.,Benches present roughly every 1/8 mile.,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,No information on shade is available.,No information on noise is available.,No bird blind present.,No maintenance information is available.,No safety information is available.,
21,Schoenberg Marsh Waterfowl Production Area,-89.30736364,43.33948215,"Schoenberg Marsh Waterfowl Production Area, located near Arlington, Wisconsin, offers a peaceful out-and-back trail ideal for birding and walking. This easy, paved route takes around 19 minutes to complete and is well-suited for visitors seeking a quiet and accessible nature experience. The trail features a viewing deck at its endpoint, equipped with scopes for your bird viewing pleasure, providing a perfect opportunity to spot a variety of waterfowl and other bird species that frequent the marsh. Open from February through November, Schoenberg Marsh is a serene destination for birding enthusiasts, especially during migration seasons. The accessibility of the trail makes it a welcoming choice for visitors using wheelchairs, strollers, or mobility equipment. While dogs are not permitted, this restriction ensures a peaceful environment for both wildlife and visitors.",,L198102,"Schoeneberg Marsh, Columbia, Wisconsin, United States - eBird Hotspot",218,,,,mi,1,out and back,Parking available.,No bathrooms available.,"Ramps present. Ramps a re steeping than 1:12, but not so steep it feels like an effort to use.",Path is asphalt and concrete.,No slope information available.,No trail width or pullout information available.,No steps are present.,Benches are present but not frequent. ,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,No information on shade is available.,No information on noise is available.,No bird blind present.,No maintenance information is available.,No safety information is available.,
22,Schoenberg Marsh,-89.30767543,43.33959202,"Schoenberg Marsh, located near Arlington, Wisconsin, is a standout prairie wetland known for its rich biodiversity and importance as a habitat for rare bird species. Adjacent to the U.S. Fish and Wildlife Service's 720-acre Waterfowl Production Area, the Southern Wisconsin Bird Alliance's 60-acre Erstad Prairie complements the marsh with its two 18-acre wetlands and 42 acres of upland grassland. Schoenberg Marsh is renowned for hosting nesting Yellow-headed Blackbirds and Black Terns, making it one of Wisconsin's premier prairie wetlands. Birders can explore the Fish and Wildlife Service's ADA-accessible trail on Priem Road, which offers easy access for visitors with mobility challenges. Additionally, a Southern Wisconsin Bird Alliance wildlife viewing blind, located past the end of Harvey Road, provides an intimate vantage point for observing the marsh's vibrant birdlife.",,L198102,"Schoeneberg Marsh, Columbia, Wisconsin, United States - eBird Hotspot",218,,,,mi,,,Van-accessible parking available. ,No bathrooms available.,No ramps are present.,Path is asphalt.,No slope information available.,No trail width or pullout information available.,No steps are present.,Benches are present but not frequent. ,No known obstacles or obstructions are present.,"Railings are present but placed to optimize, not obstruct a seated person's line of site",No features available for visitors who are blind or have low vision.,No information on shade is available.,No information on noise is available.,"Southern Wisconsin Bird Alliance wildlife viewing blind, located past the end of Harvey Road",No maintenance information is available.,No safety information is available.,
23,International Crane Foundation,-89.75337624,43.54712935,"Found in the rolling farmlands of southern Wisconsin near Baraboo, the International Crane Foundation is a globally unique destination, being the only place in the world where all 15 species of cranes can be seen. Located just ten minutes from the Wisconsin Dells and the scenic Baraboo Hills, this remarkable facility offers an unparalleled opportunity to learn about the world's cranes and the vital conservation work being done to protect them. The facility also features nature trails winding through the surrounding landscapes, providing opportunities to enjoy native Wisconsin wildlife and natural beauty.",,L424233,"International Crane Foundation, Sauk, Wisconsin, United States - eBird Hotspot",185,,,,mi,1.2,,Van-accessible parking available. ,No bathrooms available.,Ramps are present with perfect slope (1:12).,Path is concrete and loose dirt.,No slope information available.,No trail width or pullout information available.,No steps are present.,Benches present roughly every 1/8 mile.,No known obstacles or obstructions are present.,"Railings are present but placed to optimize, not obstruct a seated person's line of site",No features available for visitors who are blind or have low vision.,No information on shade is available.,No information on noise is available.,No bird blind present.,No maintenance information is available.,No safety information is available.,
24,Lewis Park (Lower Mud Lake Overview Platform),-89.29505955,43.00469819,"Lewis Park's Lower Mud Lake Observation Platform is a premier birding location in Dane County, especially during the winter and early spring when it serves as one of the region's few continuously open-water sites. This unique feature attracts an extraordinary variety and volume of waterfowl. Hundreds of Tundra Swans overwinter here, joined by species such as American Black Duck, Northern Shoveler, Lesser Scaup, Common Goldeneye, and both Common and Hooded Mergansers. Migration seasons bring an even greater spectacle, with thousands of ducks, including Redhead, Canvasback, Ruddy Duck, Northern Pintail, and both Green-winged and Blue-winged Teal, arriving to rest and refuel. American White Pelicans and Forster's Terns are also common during migration, while Least Bitterns make rare summer appearances. Bald Eagles are frequent winter visitors, often seen perched in nearby trees or on the ice, and at least one pair nest in the Marsh Woods area. The Marsh Woods Loop is particularly rewarding during migration, offering birders the chance to spot Willow Flycatchers, Warbling Vireos, and other resident and migratory species when conditions align with favorable winds and midge hatches. ",,L2359195,"Lower Mud Lake--Lewis Park & Marsh Woods, Dane, Wisconsin, United States - eBird Hotspot",180,,,,mi,0.1,overlook,Van-accessible parking available. ,There are bathrooms inside a warming-shelter building.,Ramps present and appear to have mild slope.,Path is asphalt with wooden boardwalk.,No slope information available.,No trail width or pullout information available.,No steps are present.,Benches are present but not frequent. ,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,No information on shade is available.,No information on noise is available.,No bird blind present.,No maintenance information is available.,No safety information is available.,
25,Lower Yahara River Trail Boardwalk,-89.31561146,43.031499,"The Lower Yahara River Trail is a remarkable recreational asset in Dane County, offering scenic and trail connections between Madison, McFarland, and beyond. This birding hotspot a nearly 2.5-mile off-road trail, including North America's longest inland boardwalk bridge constructed solely for non-motorized transportation. This mile-long bridge spans the waters of Lake Waubesa, running parallel to an active railroad corridor. Along the bridge, visitors can enjoy accessible fishing piers, rest stops, and observation areas that provide stunning views of the lake and surrounding area. Tje trail extends another 1.6 miles, featuring a mix of boardwalk and paved sections that traverse Door Creek and skirt the northern shore of Lake Kegonsa. This extension connects Fish Camp County Park to Lake Kegonsa State Park and links to McFarland via a 2-mile on-road route. This trail is a prime spot to observe waterfowl, especially during migration seasons. In the spring and fall, species such as Northern Shovelers, Blue-winged Teal, Green-winged Teal, Canvasbacks, Redheads, and Ruddy Ducks frequent the lake. Common Goldeneye and Hooded Mergansers are regular visitors during the winter months, while Tundra Swans can be seen gathering on the open water.",,L6230647,"Lower Yahara River Trail, Dane, Wisconsin, United States - eBird Hotspot",202,,,,mi,1,,Parking lot at McDaniel Park entrance (southeast corner of boardwalk) with van-accessible parking.,Bathrooms present. Dimensions are unknown.,No ramps are present.,"Boardwalk; after the boardwalk enters into Lake Farm County Park, the trail connects to the asphalt Capital City Trail (bike/pedestrian trail).",No slope information available.,There are also (2) pullout sections with lower railings towards the northwest end of the boardwalk.,No steps are present.,Benches are present but not frequent. ,No known obstacles or obstructions are present.,"Railings are present but placed to optimize, not obstruct a seated person's line of site",No features available for visitors who are blind or have low vision.,No information on shade is available.,No information on noise is available.,No bird blind present.,No maintenance information is available.,No safety information is available.,
26,Horicon Marsh Wildlife Area,-88.60093,43.47442,"Spanning an impressive 33,000 acres, Horicon Marsh is one of the largest freshwater wetlands in the United States and a premier destination for bird enthusiasts. This wetland, once drained for farming, underwent extensive restoration efforts and was designated a Wetland of International Importance in the 1990s. Today, it is co-managed by the Wisconsin DNR and the US Fish and Wildlife Service. Horicon Marsh is renowned for its incredible birding opportunities, particularly during spring and fall migration. During these times, hundreds of thousands of ducks pass through, including Mallards, Green-winged Teal, Northern Pintail, Gadwall, and more. The marsh is also a vital stopover for tens of thousands of Canada Geese and Sandhill Cranes, creating a spectacular display of birdlife.",,USFWS_705,Horicon National Wildlife Refuge - eBird,303,yes,,,mi,0.25,,Parking available.,No bathrooms available.,No ramps are present.,Path is hard-packed soil and well-packed crushed stone. Part of the trail includes a wood boardwalk over the marsh.,Trail slopes are no steeper than a ratio of 1:20 (5% gradient).,No trail width or pullout information available.,No steps are present.,No benches are available.,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,Shade is variable.,No information on noise is available.,No bird blind present.,No maintenance information is available.,No safety information is available.,
27,"Causeway, Madison Audubon's Goose Pond Sanctuary",-89.36276262,43.31944713,"Located just one mile south of Arlington and a short 20-minute drive from Madison, The Causeway at Goose Pond Sanctuary offers a convenient and serene spot to observe the wealth of birdlife that makes this prairie pothole wetland a renowned destination for birders. Birders visiting the Causeway can enjoy spectacular views of Goose Pond and its surrounding prairie from the comfort of their vehicles or the parking area. This location is especially popular during spring and fall migration, when the pond teems with activity. Migrating waterfowl, including Canvasback, Redhead, Northern Pintail, and Green-winged Teal, are a common sight, along with shorebirds and even Sandhill Cranes. Throughout the year, Goose Pond Sanctuary remains a haven for a variety of bird species. Raptors like Bald Eagles and Northern Harriers are frequently seen overhead, while the prairie and wetland habitats support grassland birds such as Bobolinks and Eastern Meadowlarks.",,L209446,"Goose Pond, Columbia, Wisconsin, United States - eBird Hotspot",236,,,,mi,0,,Gravel parking lot.,No bathrooms available.,No ramps are present.,Paved road.,No slope information available.,No trail width or pullout information available.,No steps are present.,No benches are available.,No known obstacles or obstructions are present.,No railings or barriers are present.,No features available for visitors who are blind or have low vision.,No information on shade is available.,No information on noise is available.,No bird blind present.,No maintenance information is available.,No safety information is available.,
