id,site_id,type,filename,name,lat,lon,description,image
43,6,busstop,,Bluff & Hoyt (WB),43.070308,-89.442118,,
44,6,trail,,,,,,
45,7,parkinglot,,Parking Lot,43.094062,-89.369481,"There is paved parking across Sherman Ave at Tenney Park, which includes several regular parking spots in addition to some van accessible parking spots.",
46,7,bathroom,,Tenney Lock & Dam Bathrooms,43.094968,-89.370575,There are bathrooms on site at the Tenney Park Lock and Dam.,
47,7,bathroom,,Tenney Park Beach Bathrooms,43.093302,-89.372673,Bathrooms  near tenney park beach,
48,7,birdpoi,,Lake Mendota,43.096475,-89.371144,"Explore the Tenney Park Lagoon, Yahara River, and Lake Mendota to spot the different waterfowl that migrate through the area.",
49,7,birdpoi,,Tenney Park Lagoon,43.09397,-89.370042,"Explore the Tenney Park Lagoon, Yahara River, and Lake Mendota to spot the different waterfowl that migrate through the area.",
50,7,birdpoi,,Yahara River,43.094362,-89.369341,"Explore the Tenney Park Lagoon, Yahara River, and Lake Mendota to spot the different waterfowl that migrate through the area.",
51,7,trail,tennypier,Parking Lot to Tenney Park Pier,,,The path is entirely paved concrete and in generally good condition.,
52,7,busstop,,Sherman at N Thorton,43.094436, -89.369979,,
53,9,parkinglot,,Woodland Park Parking Lot,43.054828,-89.321202,"here is one van-accessible handicap parking space in front of the main ALNC building, next to a EV charging station. There are several additional, standard lined spaces.",
54,9,parkinglot,,ALNC Parking Lot,43.05457,-89.322436,"Additional paved lot with standard spaces for Woodland Park, a city park, which is on the opposite (left) side of the road as you drive in.",
55,9,bathroom,,Bathrooms,43.054499,-89.320994,"Bathrooms are open when  buildding is open. 9am - 4pm Monday-Friday, 10am-2pm Saturday and Sunday.",
56,9,birdpoi,,Pond,43.053661,-89.319232,This pond is often visited by Green and Great Blue Herons.,
57,9,birdpoi,,Wetland,43.052857,-89.317867,Sandhill Cranes are known to nest in this marsh.,
58,9,birdpoi,,Forest Edge,43.053705,-89.318018,"Forest edge is often visited by warblers, vireos, woodpeckers, ad thrushes during migration and summer.",
59,9,trail,alcntrail,ALNC Outer Trail Loop,,,"Trails are well-maintained and a mix of asphalt, concrete, hard-packed soil, thick grass, and wooden boardwalks. Boardwalk section does have a few rotted wooden planks. Trails near the play area are packed dirt and may be muddy after a rain. There are many trails throughout the preserve to make this loop shorter or longer.",
60,10,parkinglot,,Parking Lot,43.005279,-89.295374,Paved lot with one van-accessible parking space. Curb cuts are present.,
61,10,bathroom,,Bathroom,43.005043,-89.295215,"There is a ""family"" toilet that is listed as wheelchair accessible. There are railings in the restroom and the heights of the toilet, sink, soap, and hand dryers all seem designed to be wheelchair accessible. The toilet is a single toilet in a large room. It is heated during the winter.",
62,10,birdpoi,,Observation Deck,43.004575,-89.294955,"Obervation deck with two ADA-accessible telescopes on the platform that are free to use year-round. Yahara River's flow often keeps the water near the platform open, even when the lake is iced over. Swans, geese, and a wide variety of waterfowl species can be spotted during these seasons.",
63,10,trail,lewispark,Parking Lot to Observation Deck,,,Path is asphalt with wooden boardwalk.,
64,11,parkinglot,,Parking Lot,43.139,-88.896208," 3-4 van accessible spots in grassy parking lot marked with a ""Sanctuary Parking"" sign off of Prairie Lane. Sloped and uneven gravel to get out of parking area. Located next to a kiosk with information about Faville Grove Sanctuary.",
65,11,parkinglot,,Parking Pull Off,43.139182,-88.891117,Gravel pull off,
66,11,parkinglot,,Parking Pull Off,43.139004,-88.886304,Gravel pull off,
67,11,parkinglot,,Parking Pull Off,43.146372,-88.882486,Gravel pull off,
68,11,parkinglot,,Parking Pull Off,43.1508,-88.882583,Gravel pull off,
69,11,birdpoi,,Lake Mills Ledge,43.140147,-88.895824,"Lake Mills Ledge runs both North and South of Prairie Lane through open savanna vistas with Red-headed Woodpeckerm Great Horned Owl, and Orchard Oriole",
70,11,birdpoi,,Charles Prairie,43.142405,-88.884947,"Charles is a very well restored prairie, and has lots of birds such as bobolinks which fill the prairie with bubbly robot-like songs. ",
71,11,birdpoi,,Martin Prairie,43.143523,-88.879833,This prairie is often very wet in spring as the snow melts and the nearby Crawfish River floods. Listen for Dickcissels and look for Bald Eagles that nest along the river.,
72,11,birdpoi,,Crawfish River,43.149866,-88.871925,The Crawfish River marks the easternmost boundary of Faville Grove Sanctuary. Hike the Crawfish River trail to enjoy a view of the river and the floodplain abutting Tillotson Prairie. Look for evidence of beavers or river otters near the river?.Can you find the Bald Eagle nesting along the river?,
73,11,trail,prairielane,Prairie Lane,,,,
,12,parkinglot,,Parking Spot,,,There is one spot available on the right (east) side of the gravel driveway that abuts a fence and an old farmstead. Please only park on the right side and do not block access to the left side.,
,12,parkinglot,,Street Parking,,,"You may also park well off the road along Highway 89, though there is a slight slope when doing so.",
,12,birdpoi,,,,,,
,12,birdpoi,,,,,,
,12,trail,,,,,,
,13,parkinglot,,Parking Lot,43.051832,-89.376803,Large paved lot with ample parking spaces adjacent to the trailhead. None marked as accessible parking spaces. Bumps and potholes present.,
,13,busstop,,John Nolen at E Olin (SB),43.050326,-89.377876,,
,13,busstop,,John Nolen at E Olin (NB),43.051597,-89.377877,,
,13,trail,turvilleprairieloop,Prairie Loop,,,"1.5 miles. Entry area includes some asphalt and paved trail for about 1/3 mile. This area has uneven blocks and asphalt with potholes. Aside from this area, the trails around the conservancy are primarily packed dirt or mowed grass which can be muddy depending on weather conditions. Wooded sections may be narrow with roots and rocks.",
,13,trail,turvillelakeloop,Lake Loop,,,"0.6 miles. Entry area includes some asphalt and paved trail for about 1/3 mile. This area has uneven blocks and asphalt with potholes. Aside from this area, the trails around the conservancy are primarily packed dirt or mowed grass which can be muddy depending on weather conditions. Wooded sections may be narrow with roots and rocks.",
,13,birdpoi,,Forest,43.051989,-89.374649,"In the wooded sections of Turville Point you can expect to find many different species of songbirds and woodpeckers. During migration flycatchers vireos, warblers, and thrushes can be seen and heard throughout the towering trees,",
,13,birdpoi,,Prairie,43.05086,-89.373935,Black birds and sparrows can be seen dancing around the 7-acre prairie.,
,13,birdpoi,,Lake,43.052762,-89.366483,The lake loop provides a great vantage point to see migratory waterfowl around Lake Menona.,
,,,,,,,,
,,,,,,,,
,trail,turvilleprairieloop,Prairie Loop,,,"1.5 miles. Entry area includes some asphalt and paved trail for about 1/3 mile. This area has uneven blocks and asphalt with potholes. Aside from this area, the trails around the conservancy are primarily packed dirt or mowed grass which can be muddy depending on weather conditions. Wooded sections may be narrow with roots and rocks.",,
,trail,turvillelakeloop,Lake Loop,,,"0.6 miles. Entry area includes some asphalt and paved trail for about 1/3 mile. This area has uneven blocks and asphalt with potholes. Aside from this area, the trails around the conservancy are primarily packed dirt or mowed grass which can be muddy depending on weather conditions. Wooded sections may be narrow with roots and rocks.",,
